-112, -130, 132 
1213, 1246, 1177, 1234 7, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 
1297, 1327, 1262, 1314 8, 1351, 1407 
1384, 1418, 1351, 1407 
1384, 1418, 1351, 1407 
1384, 1418, 1351, 1407 
1384, 1418, 1351, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 
1475, 1418, 1440, 1407 3, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 
1555, 1583, 1516, 1573 7, 1689, 1667 
1726, 1677, 1689, 1667 
1726, 1677, 1689, 1667 
1726, 1677, 1689, 1667 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 
1726, 1752, 1689, 1746 0, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1807, 1830, 1770, 1827 
1893, 1830, 1856, 1827 
1893, 1830, 1856, 1827 
1893, 1830, 1856, 1827 
1893, 1830, 1856, 1827 
1893, 1830, 1856, 1827 
1893, 1830, 1856, 1827 
