-101, -119, 142 
266-2891, 2940 
2902, -2925, -2891, 2940 
2902, -2925, -2891, 2940 
2902, -2925, -2891, 2940 
2902, -2925, -2891, 2940 
2902, -2925, -2891, 2940 
2902, -2925, -2891, 2940 
*************************
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -11, 66 
12, -36, -14, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, -60, 71 
-4, -67, , 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23, -98, -101, 2 
-23-128, -171, -56 
-74, -128, -171, -56 
-74, -128, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-74, -165, -171, -56 
-741, -299, -163 
-181, -231, -299, -163 
-181, -231, -299, -163 
-181, -231, -299, -163 
-181, -231, -299, -163 
-181, -231, -299, -163 
-181, -231, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 
-181, -288, -299, -163 8, -377, -224 
-266, -288, -377, -224 
-266, -288, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 
-266, -370, -377, -224 3, -444, -375 
-336, -433, -444, -375 
-336, -433, -444, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -433, -521, -375 
-416, -510, -521, -375 
-416, -510, -521, -375 8, -601, -443 
-494, -598, -601, -443 
-494, -598, -601, -443 
-494, -598, -601, -443 
-494, -95, -802, -895, -731 
-795, -802, -895, -731 
-795, -802, -895, -731 
-795, -802, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -731 
